2025-04-13 12:13:50,922 - Training data: 17495 rows
2025-04-13 12:13:57,396 - Training PPO on EURUSD at 2025-04-13 12:13:57.386858+05:30
2025-04-13 12:34:23,270 - Rollout 172032: ep_rew_mean = -0.0045, actions = {0: 1822, 1: 180, 2: 46}, action_pct = {0: 88.96484375, 1: 8.7890625, 2: 2.24609375}
2025-04-13 12:34:34,618 - Rollout 174080: ep_rew_mean = 0.0019, actions = {0: 1782, 1: 216, 2: 50}, action_pct = {0: 87.01171875, 1: 10.546875, 2: 2.44140625}
2025-04-13 12:34:40,537 - Rollout 176128: ep_rew_mean = -0.0083, actions = {0: 1757, 1: 208, 2: 83}, action_pct = {0: 85.791015625, 1: 10.15625, 2: 4.052734375}
2025-04-13 12:34:46,121 - Rollout 178176: ep_rew_mean = 0.0010, actions = {0: 1723, 1: 260, 2: 65}, action_pct = {0: 84.130859375, 1: 12.6953125, 2: 3.173828125}
2025-04-13 12:34:51,418 - Rollout 180224: ep_rew_mean = 0.0026, actions = {0: 1788, 1: 215, 2: 45}, action_pct = {0: 87.3046875, 1: 10.498046875, 2: 2.197265625}
2025-04-13 12:34:56,652 - Rollout 182272: ep_rew_mean = -0.0102, actions = {0: 1796, 1: 200, 2: 52}, action_pct = {0: 87.6953125, 1: 9.765625, 2: 2.5390625}
2025-04-13 12:35:02,246 - Rollout 184320: ep_rew_mean = 0.0031, actions = {0: 1837, 1: 162, 2: 49}, action_pct = {0: 89.697265625, 1: 7.91015625, 2: 2.392578125}
2025-04-13 12:35:07,609 - Rollout 186368: ep_rew_mean = -0.0072, actions = {0: 1853, 1: 146, 2: 49}, action_pct = {0: 90.478515625, 1: 7.12890625, 2: 2.392578125}
2025-04-13 12:35:12,788 - Rollout 188416: ep_rew_mean = 0.0061, actions = {0: 1808, 1: 164, 2: 76}, action_pct = {0: 88.28125, 1: 8.0078125, 2: 3.7109375}
2025-04-13 12:35:18,299 - Rollout 190464: ep_rew_mean = 0.0005, actions = {0: 1733, 1: 241, 2: 74}, action_pct = {0: 84.619140625, 1: 11.767578125, 2: 3.61328125}
2025-04-13 12:35:24,782 - Rollout 192512: ep_rew_mean = 0.0011, actions = {0: 1742, 1: 252, 2: 54}, action_pct = {0: 85.05859375, 1: 12.3046875, 2: 2.63671875}
2025-04-13 12:35:31,470 - Rollout 194560: ep_rew_mean = 0.0017, actions = {0: 1732, 1: 259, 2: 57}, action_pct = {0: 84.5703125, 1: 12.646484375, 2: 2.783203125}
2025-04-13 12:35:37,530 - Rollout 196608: ep_rew_mean = 0.0014, actions = {0: 1689, 1: 315, 2: 44}, action_pct = {0: 82.470703125, 1: 15.380859375, 2: 2.1484375}
2025-04-13 12:35:44,097 - Rollout 198656: ep_rew_mean = 0.0005, actions = {0: 1737, 1: 268, 2: 43}, action_pct = {0: 84.814453125, 1: 13.0859375, 2: 2.099609375}
2025-04-13 12:35:49,897 - Rollout 200704: ep_rew_mean = 0.0014, actions = {0: 1797, 1: 210, 2: 41}, action_pct = {0: 87.744140625, 1: 10.25390625, 2: 2.001953125}
2025-04-13 12:35:55,249 - Rollout 202752: ep_rew_mean = -0.0081, actions = {0: 1855, 1: 163, 2: 30}, action_pct = {0: 90.576171875, 1: 7.958984375, 2: 1.46484375}
2025-04-13 12:36:00,817 - Rollout 204800: ep_rew_mean = 0.0039, actions = {0: 1874, 1: 140, 2: 34}, action_pct = {0: 91.50390625, 1: 6.8359375, 2: 1.66015625}
2025-04-13 12:36:06,253 - Rollout 206848: ep_rew_mean = 0.0018, actions = {0: 1848, 1: 173, 2: 27}, action_pct = {0: 90.234375, 1: 8.447265625, 2: 1.318359375}
2025-04-13 12:36:11,764 - Rollout 208896: ep_rew_mean = -0.0067, actions = {0: 1868, 1: 142, 2: 38}, action_pct = {0: 91.2109375, 1: 6.93359375, 2: 1.85546875}
2025-04-13 12:36:18,350 - Rollout 210944: ep_rew_mean = 0.0045, actions = {0: 1876, 1: 151, 2: 21}, action_pct = {0: 91.6015625, 1: 7.373046875, 2: 1.025390625}
2025-04-13 12:36:25,123 - Rollout 212992: ep_rew_mean = 0.0043, actions = {0: 1872, 1: 148, 2: 28}, action_pct = {0: 91.40625, 1: 7.2265625, 2: 1.3671875}
