2025-04-12 08:42:03,893 - Rollout 268288: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:42:10,456 - Rollout 270336: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:42:16,937 - Rollout 272384: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:42:23,561 - Rollout 274432: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:42:29,909 - Rollout 276480: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:42:36,491 - Rollout 278528: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:42:42,841 - Rollout 280576: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:42:49,395 - Rollout 282624: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:42:55,531 - Rollout 284672: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:43:02,576 - Rollout 286720: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:43:08,644 - Rollout 288768: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:43:15,004 - Rollout 290816: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:43:21,093 - Rollout 292864: ep_rew_mean = 0.0068, actions = {0: 2047, 1: 1, 2: 0}
2025-04-12 08:43:27,002 - Rollout 294912: ep_rew_mean = 0.0501, actions = {0: 2043, 1: 2, 2: 3}
2025-04-12 08:43:32,680 - Rollout 296960: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:43:38,348 - Rollout 299008: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:43:44,093 - Rollout 301056: ep_rew_mean = 0.0498, actions = {0: 2040, 1: 4, 2: 4}
2025-04-12 08:43:49,623 - Rollout 303104: ep_rew_mean = 0.0499, actions = {0: 2044, 1: 2, 2: 2}
2025-04-12 08:43:55,269 - Rollout 305152: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:44:01,050 - Rollout 307200: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:44:06,808 - Rollout 309248: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:44:12,236 - Rollout 311296: ep_rew_mean = 0.0500, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:44:17,818 - Rollout 313344: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:44:23,589 - Rollout 315392: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:44:29,396 - Rollout 317440: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:44:34,635 - Rollout 319488: ep_rew_mean = 0.0499, actions = {0: 2046, 1: 1, 2: 1}
2025-04-12 08:44:40,295 - Rollout 321536: ep_rew_mean = 0.0339, actions = {0: 2028, 1: 10, 2: 10}
2025-04-12 08:44:45,910 - Rollout 323584: ep_rew_mean = 0.0410, actions = {0: 2028, 1: 10, 2: 10}
2025-04-12 08:44:51,453 - Rollout 325632: ep_rew_mean = 0.0454, actions = {0: 2038, 1: 5, 2: 5}
2025-04-12 08:44:57,138 - Rollout 327680: ep_rew_mean = 0.0488, actions = {0: 2042, 1: 3, 2: 3}
2025-04-12 08:45:02,962 - Rollout 329728: ep_rew_mean = 0.0499, actions = {0: 2044, 1: 2, 2: 2}
2025-04-12 08:45:08,560 - Rollout 331776: ep_rew_mean = 0.0499, actions = {0: 2044, 1: 2, 2: 2}
2025-04-12 08:45:14,348 - Rollout 333824: ep_rew_mean = 0.0499, actions = {0: 2044, 1: 2, 2: 2}
2025-04-12 08:45:20,279 - Rollout 335872: ep_rew_mean = 0.0500, actions = {0: 2048, 1: 0, 2: 0}
2025-04-12 08:45:25,928 - Rollout 337920: ep_rew_mean = 0.0476, actions = {0: 2042, 1: 3, 2: 3}
2025-04-12 08:45:31,559 - Rollout 339968: ep_rew_mean = 0.0493, actions = {0: 2044, 1: 2, 2: 2}
